Articulo,Desc_Articulo,Familia
RM00010049,BOTELLA PET 700 ML 28 BL MOD. GREKAS TRANSPARENTE 24.5 GR,BOTELLAS Y FRASCOS
RM00010648,TAPA ROSCA # 63 BLANCA,REVENTA
RM00000615,BOTELLA PET 1000 ML 28BC MOD PIÑA TRANSPARENTE 33.5 GR,BOTELLAS Y FRASCOS
RM00000629,TAPA ROSCA PEAD 50 MM AMARILLA IND BOLSA 4.6 GR,TAPAS Y ASAS
RM00000584,LICORERA PET 1000ML 28BL MOD ELEGANT TRANSPARENTE 52GR,GARRAFAS PET
RM00000612,BOTELLA PET 1000 ML 28 BC MOD 1000-80 AGUA AZUL AZUL 24.5 GR,ETIQUETADO AOKI
RM00000498,BOTELLA PET 1000 ML 28 BC MOD BOSTON LISA TRANSPARENTE 27 GR,BOTELLAS SOPLADAS
RM00010106,PREFORMA PET 48 MM 80 GR TRANSPARENTE REMSA,PREFORMAS
RM00000645,BOTELLA PET 500 ML 26 BC MOD 500-26 MAHEKAL TRANSPARENTE 11.5GR,ETIQUETADO AOKI
RM00000661,LICORERA PET 1000ML 28BL MOD ELEGANT TRANSPARENTE 51GR,BOTELLAS SOPLADAS
RM00000397,BOLSA  PARA 2.0 LTS. DE 90 + 20 X 150  CAL 200,MATERIA PRIMA
RM00000292,LINER P/TAPA DE GARRAFON #58,MATERIA PRIMA
RM00000140,ASA VERDE PARA GARRAFA # 28,MATERIA PRIMA
RM00000701,BOTELLA PET 500 ML 26 BC MOD 500-26 TRANSPARENTE 10.5 GR,BOTELLAS SOPLADAS
RM00000696,PREFORMA PET 10.5 GR 26 MM BC TRANSPARENTE REMSA,PREFORMAS
RM00000699,BOTELLA PET 1000 ML 28 BC MOD 1000-80 AGUA AZUL AZUL 27 GR,ETIQUETADO AOKI
RM00010757,BOTELLA PET 2 L 28 BL MOD FONDO PLANO P/ETIQUETAR TRANSPARENTE 52 GR,GARRAFAS PET
RM00000739,LICORERA PET 1000ML 28BL MOD ELEGANT NEGRA 51 GR,BOTELLAS SOPLADAS
RM00000715,BOTELLA PET 1000 ML 28 BC MOD 1000-80 ZETA AZUL 27 GR,ETIQUETADO AOKI
RM00000763,BOTELLA PET 350 ML BC MOD 350-16 TRANSPARENTE 15.5 GR,BOTELLAS SOPLADAS
RM00000757,BOTELLA PET 500 ML 26 BC MOD 500-26 MAHEKAL TRANSPARENTE 10.5 GR,ETIQUETADO AOKI
RM00000786,BOTELLA PET 500ML 28BC MOD 500-45 AGUA AZUL TRANSPARENTE 15.5GR,ETIQUETADO AOKI
RM00000788,BOTELLA PET 500ML 28BC MOD 500-45 AGUA AZUL AZUL 15.5GR,ETIQUETADO AOKI
RM00010657,TAPA ROSCA #24 F/T HABANERA AMARILLA C-LINER SEN DKL,REVENTA
RM00000793,GARRAFA PET 3.785 LTS 48MM MOD GALON RECTANGULAR RPT TRANSPARENTE 80 GR,GARRAFAS PET
